ID,Título del video,Longitud título,Vistas,Tiempo de reproducción (horas),Suscriptores,Duración Promedio (Seg),Impresiones,Categoría,Descripción,Longitud descripción,Descripción sentimiento positivo,Descripción sentimiento objetivo,Duración (segundos),Tipo de duración,Título con emojis,Cantidad de emojis en el título,Descripción con emojis,Cantidad de emojis en las descripción,Título con hashtags,Cantidad de hashtags en el título,Descripción con hashtags,Cantidad de hashtags en la descripción,Color dominante del thumbnail,R,G,B,Temperatura,Grupo de color familiar,Hora de publicación (cadena),Hora de publicación,Grupo Horario,Fecha de publicación,Mes de publicación,Cuartiles (Mes),Fecha antes del proximo video,Suscriptores (entre fechas),Celebración cercana,Celebración cercana (agrupado),Países de celebración cercana,Relación con festividad
9gmTfQtWPJM,Would You Rather...? 🚀 Space Edition! #Shorts,45,469,3.0233,4,23,487,Ciencia y Espacio,"Blast off with our space-themed ""Would You Rather"" challenge! 🌌✨ In this quick and exciting short, we present a cosmic ""Would You Rather"" question that will launch your imagination into orbit.  Today's Space Question: Would you rather be an alien OR see an alien? 🌠🪐  Drop your answer in the comments below and let us know which out-of-this-world adventure you'd choose! Don't forget to like and subscribe for more stellar challenges and fun content.  #wouldyourather  #SpaceEdition #Shorts #FunChallengeyourather #wouldyourather #wouldyourathergame #quiz #trivia #choose #red #blue #challenge #toughchoices #choices #funchallenge",630,0.122093023,0.781976744,53,Promedio,['🚀'],1,"['🌌', '✨', '🌠', '🪐']",4,['#Shorts'],1,"['#wouldyourather', '#SpaceEdition', '#Shorts', '#FunChallengeyourather', '#wouldyourather', '#wouldyourathergame', '#quiz', '#trivia', '#choose', '#red', '#blue', '#challenge', '#toughchoices', '#choices', '#funchallenge']",15,"(40, 20, 44)",40,20,44,Cálido,Negro,19:00:04,1/1/1900 7:00:04 PM,Noche,21/7/2024,7,Q3,25/7/2024,5,Summer Olympics Opening Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
wic0IkHb6VE,Euros quiz,10,460,2.6591,2,20,471,Deportes y Juegos,The UEFA European Football Championship is almost over. How much do you know about the Euros?   #euros #copa #europeanchampionship #football #quiz #uefa,152,0.0875,0.875,42,Corto,[],1,[],1,[],1,"['#euros', '#copa', '#europeanchampionship', '#football', '#quiz', '#uefa']",6,"(22, 63, 32)",22,63,32,Frío,Negro,18:29:01,1/1/1900 6:29:01 PM,Tarde,6/7/2024,7,Q3,8/7/2024,10,Euro Cup Final,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
qve0bhKccpo,Euros Quiz  #2,14,446,2.0956,2,16,457,Deportes y Juegos,The UEFA European Football Championship is almost over. How much do you know about the Euros?   #euros #copa #europeanchampionship #football #quiz #uefa,152,0.0875,0.875,41,Corto,[],1,[],1,['#2'],1,"['#euros', '#copa', '#europeanchampionship', '#football', '#quiz', '#uefa']",6,"(25, 31, 69)",25,31,69,Frío,Negro,05:45:02,1/1/1900 5:45:02 AM,Madrugada,9/7/2024,7,Q3,9/7/2024,5,Euro Cup Final,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
wV0mpy-nLUU,Euros 2024  - Spain vs France Semi-final,40,423,1.8886,1,16,537,Deportes y Juegos,Euros 2024  - Spain vs France Semi-final.,41,0,1,49,Corto,[],1,[],1,[],1,[],1,"(65, 54, 17)",65,54,17,Cálido,Negro,20:26:16,1/1/1900 8:26:16 PM,Noche,10/7/2024,7,Q3,9/7/2024,0,Euro Cup Final,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
yN1uoxZQVaU,Would You Rather ..? | Fantasy Vacation 🧙✨💭 | The Quiz Challenge,64,394,12.038,0,109,10523,Trivia y Cuestionarios Generales,"Fantasy Fanatics, Assemble! This summer, ditch the beach and dive into a world of magic with our epic Would You Rather: Fantasy Edition!  Can you handle these mythical dilemmas? We'll throw down two fantastical choices, and you'll have to pick just one. Be warned - it's tougher than battling a dragon!  Get ready to unleash your imagination and explore uncharted territories. Whether you're a sword-wielding warrior or a in a different dimension, there's a question for every adventurer.  Ready to embark on this epic quest? Let's go!  Let us know in the comments which fantasy world is your favourite.  #WouldYouRather #FantasyEdition #Magic #Adventure #QuizTime  Check out these amazing notebooks and create your own fantasy story:  https://www.amazon.com/s?i=stripbooks...",776,0.044354839,0.848790323,408,Largo,"['🧙', '✨', '💭']",3,[],1,[],1,"['#WouldYouRather', '#FantasyEdition', '#Magic', '#Adventure', '#QuizTime']",5,"(180, 69, 152)",180,69,152,Cálido,Púrpura,23:00:35,1/1/1900 11:00:35 PM,Noche,7/8/2024,8,Q3,10/8/2024,2,Summer Olympics Closing Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
jMFoaRWq69Q,Would You Rather ..? | Disney Parks   🏰 🎢  🧚 | The Quiz Challenge,65,278,6.1208,1,79,5373,Trivia y Cuestionarios Generales,"Welcome to our ultimate Disney Parks Would You Rather quiz! 🌟🎢   Dive into magical dilemmas and choose between your favorite Disney adventures, attractions, and characters.   Will you pick a thrilling ride over a magical parade or a classic attraction over a new experience?   Test your Disney knowledge and share your choices in the comments!   Don’t forget to like, subscribe, and hit the bell for more enchanting content.   Let the Disney magic begin! ✨🎉  #WouldYouRather #Disney #DisneyWorld  #Disneyland #DisneyParks #MagicKingdom #QuizTime  Check out these amazing notebooks from our sponsor DRDigitalDreams:   https://www.amazon.com/s?i=stripbooks&rh=p_27%3ADR+Digital+Dreams&s=relevancerank&language=es&text=DR+Digital+Dreams&ref=dp_byline_sr_book_1",757,0.069148936,0.890957447,399,Largo,"['🏰', '🎢', '🧚']",3,"['🌟', '🎢', '✨', '🎉']",4,[],1,"['#WouldYouRather', '#Disney', '#DisneyWorld', '#Disneyland', '#DisneyParks', '#MagicKingdom', '#QuizTime']",7,"(195, 189, 228)",195,189,228,Cálido,Blanco,21:06:29,1/1/1900 9:06:29 PM,Noche,22/8/2024,8,Q3,5/9/2024,10,Independence Day,Independence Day,IN,False
dX356EC2A5c,Inside Out 2 | Quiz #quizforkids #funquiz #insideout2,53,270,1.4671,0,19,447,"Películas, Series y Fantasía",Uh oh! Inside Out 2 - when Riley enters puberty and is experiencing brand new emotions. How much do you know about the film?,124,0.177083333,0.8125,37,Corto,[],1,[],1,"['#quizforkids', '#funquiz', '#insideout2']",3,[],1,"(66, 58, 58)",66,58,58,Cálido,Negro,05:30:09,1/1/1900 5:30:09 AM,Madrugada,11/7/2024,7,Q3,10/7/2024,0,Bastille Day,Bastille Day,FR,False
RfK1eP5MYS4,Would you Rather... Summer Edition,34,251,9.5292,1,136,11094,Trivia y Cuestionarios Generales,"Hey, Summer Lovers! ☀️ Are you ready for the ultimate vacation showdown? Let's dive into a world of fun with our Would You Rather summer quiz!  Can you handle the heat? Let's find out! We'll give you two amazing summer options, and you have to choose just one. It's harder than it sounds!  Get ready to laugh, dream, and maybe even plan your next adventure. Whether you're a beach bum or a mountain climber, there's a question for everyone!  Ready to play? Let's go!  Share your answers with your friends and see who knows summer best!  #wouldyourather #summerquiz #vacation #travel #summervibes #fun #quiztime   Want to make your summer even more awesome? Check out these amazing notebooks to keep kids/teens/adults busy over summer! https://www.amazon.com/s?i=stripbooks&rh=p_27%3ADR+Digital+Dreams",800,0.074626866,0.865671642,444,Largo,[],1,['☀'],1,[],1,"['#wouldyourather', '#summerquiz', '#vacation', '#travel', '#summervibes', '#fun', '#quiztime']",7,"(9, 70, 138)",9,70,138,Frío,Indefinido,11:01:47,1/1/1900 11:01:47 AM,Mañana,26/7/2024,7,Q3,31/7/2024,7,Summer Olympics Opening Ceremony,Summer Olympics,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",True
cwCilNVm9xM,Name the Flower | Facts Quiz,28,235,6.6207,1,101,4541,Trivia y Cuestionarios Generales,"Hey Kids! Welcome to our ""Name the Flower"" Quiz!  In this video, we take a journey into the beautiful world of flowers! 🌸🌻🌷 Test your flower knowledge with 20 colorful questions, each with 5 seconds to answer. It's perfect for kids aged 7 and up or anyone who loves learning about nature and flowers!  Flowers come in all shapes, sizes, and colors, and each one has its own unique story. From gardens to wild meadows, flowers add beauty to our world and play a crucial role in our ecosystem. Get ready to discover some amazing flowers and their names!  🚀 Quiz Levels: Share with your friends which level you achieved!  🌱 Budding Botanist (0-3 correct answers) 🌼 Flower Fan (4-7 correct answers) 🌺 Petal Pro (8-11 correct answers) 🌸 Flower Master (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our community and never miss an adventure! 🚀  #quizgames, #flowerquiz, #quizforkids, #flowersname,  #kidslearningvideos, #naturefun, #kidsandnature",974,0.083841463,0.879573171,303,Largo,[],1,"['🌸', '🌻', '🌷', '🚀', '🌱', '🌼', '🌺', '🌸', '🚀']",9,[],1,"['#quizgames', '#flowerquiz', '#quizforkids', '#flowersname', '#kidslearningvideos', '#naturefun', '#kidsandnature']",7,"(17, 86, 157)",17,86,157,Frío,Azul,23:00:18,1/1/1900 11:00:18 PM,Noche,3/7/2024,7,Q3,5/7/2024,6,Euro Cup Semifinals,Euro Cup,"US,GB,CA,AU,IN,ZA,NZ,MY,SG,IE,PH,KR,BD,BR,AR,ES,PT,RU,CN,HK,MX,CL,CO,PY,FR,DE,IT,ID,VN,VE,IL,SA,EG,PK,IQ,AE,TH",False
OnMe42DH1Hg,Water Cycle Quiz | Facts Quiz,29,212,6.2374,2,105,2707,Trivia y Cuestionarios Generales,Hey Explorers! Dive into the Amazing Water Cycle!  Are you ready to test your knowledge about the incredible journey of water on Earth? Buckle up and get ready for our water cycle quiz!  Let's see how much you know!  We'll have fun questions with answers you can shout out loud. Each question will have a cool animation or picture to help you guess!  This quiz is perfect for curious kids aged 7 and up who love learning about science and our amazing planet!  ** Quiz Levels:** Share your score with your friends!   💧  Raindrop Rookie (0-3 correct answers) ️ ☁️ Cloud Climber (4-7 correct answers)  🏄‍♂️ River Runner (8-11 correct answers)  💦 Hydro Hero (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our science adventurer crew for more exciting discoveries!  #watercycle #sciencequiz #quizforkids #earthscience #kidslearningvideos #sciencefunfacts,883,0.076666667,0.866666667,266,Largo,[],1,"['💧', '☁', '🏄', '♂', '💦']",5,[],1,"['#watercycle', '#sciencequiz', '#quizforkids', '#earthscience', '#kidslearningvideos', '#sciencefunfacts']",6,"(238, 232, 199)",238,232,199,Cálido,Blanco,06:30:07,1/1/1900 6:30:07 AM,Mañana,11/7/2024,7,Q3,17/7/2024,10,Bastille Day,Bastille Day,FR,False
N8slYIa5RvM,Planets and Space Quiz | Facts Quiz,35,163,4.045,3,89,6190,Ciencia y Espacio,"🪐Hey Space Racers! Blast Off on a Planetary Quiz Adventure! 🪐  Are you ready to explore the amazing world of planets? Buckle up and get ready to test your knowledge with our beautiful planetary quiz!  Let's see if you're a space superstar!  We'll have exciting questions with answers you can shout out loud. Each question will have cool pictures or animations of planets to help you guess!  This quiz is perfect for curious space explorers aged 7 and up who love learning about our solar system!  ** Quiz Levels:**  Show off your score to your friends!  ✨ Planetary Padawan (0-3 correct answers) 🏄🏼 Solar Surfer (4-7 correct answers) 🪐 Cosmic Cadet (8-11 correct answers) 🌌Galactic Genius (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our space crew for more cosmic adventures!  #planetquiz #sciencequiz #quizforkids #solarsystem #kidslearningvideos #spacefun  🪐🪐 **IF YOU LOVE SPACE, CHECKOUT THESE MONTESSORI NOTEBOOKS BY VISITING OUR SPONSOR, DR Digital Dreams on AMAZON:**  https://www.amazon.com/s?i=stripbooks&rh=p_27%3ADR+Digital+Dreams",1078,0.080882353,0.880882353,261,Promedio,[],1,"['🪐', '🪐', '✨', '🏄', '🏼', '🪐', '🌌', '🪐', '🪐']",9,[],1,"['#planetquiz', '#sciencequiz', '#quizforkids', '#solarsystem', '#kidslearningvideos', '#spacefun']",6,"(197, 157, 163)",197,157,163,Cálido,Blanco,19:53:47,1/1/1900 7:53:47 PM,Noche,18/7/2024,7,Q3,17/7/2024,0,Bastille Day,Bastille Day,FR,False
SNreqswmZMc,Test Your Bird Knowledge With This Calming Quiz!,48,161,2.6999,1,60,4549,Trivia y Cuestionarios Generales,"Are you a birdwatcher or just love animals? 🦉 This quiz is for you! Challenge yourself to identify different bird species from their animated features. Don't forget to like, subscribe, and hit that notification bell for more quizzes and bird-related content!  Join us as we showcase a variety of adorable bird species, each accompanied by their unique calls. Can you guess which bird is singing? Whether you're a birdwatching enthusiast or simply love nature, this quiz is tailored for you.   🎶 Experience the soothing sounds of nature as you engage with our interactive quiz.  🌼 Perfect for relaxation, study breaks, or a peaceful moment at home.  🦜 Learn fascinating facts about each bird and enhance your knowledge of avian life.   Would you like to add anything specific about today's quiz, such as the types of birds featured or any special rules? Don't forget to leave your answers in the comments below and share your score with friends! Enjoy this calming journey through the world of birds and let the gentle sounds soothe your mind.   #BirdQuiz #NatureSounds #BirdWatching #CalmingNature #CuteBirds #Relaxation #BirdIdentification #NatureLovers  #QuizTime #factsquiz #birds #eduactionquiz   Check out these nature related notebooks from our sponsor DRDigitalDreams. Montessori lined notebooks for kids:  https://www.amazon.com/s?i=stripbooks&rh=p_27%3ADR+Digital+Dreams&s=relevancerank&language=es&text=DR+Digital+Dreams&ref=dp_byline_sr_book_1",1454,0.114898990,0.854797980,306,Largo,[],1,"['🦉', '🎶', '🌼', '🦜']",4,[],1,"['#BirdQuiz', '#NatureSounds', '#BirdWatching', '#CalmingNature', '#CuteBirds', '#Relaxation', '#BirdIdentification', '#NatureLovers', '#QuizTime', '#factsquiz', '#birds', '#eduactionquiz']",12,"(67, 105, 198)",67,105,198,Frío,Indefinido,09:30:52,1/1/1900 9:30:52 AM,Mañana,20/9/2024,9,Q3,20/9/2024,3,National Day,National Day,MX,False
pYJs4-WVFnU,Flags Quiz for Kids | Facts Quiz,32,153,2.5069,2,58,2043,Festividades y Eventos,"Hey Kids! In this video, we're exploring the amazing world of flags! 🌎🏳️‍🌈🚩 Our quiz has 15 exciting questions, with 5 seconds to answer each one. It's great for kids aged 7 and up or anyone who loves learning about flags!  🚀 Quiz Tiers: Tell your friends which tier you reached!  🎈 Flag Explorer (0-3 correct answers) 🎨 Banner Beginner (4-7 correct answers) 🌟 Vexillology Virtuoso (8-11 correct answers) 🏆 Flag Master (12-15 correct answers)  Don't forget to subscribe and hit the bell icon to join our community and never miss out on the fun!   #flags #flagsquizeasy #flagsquizchallenge #quizforkids #learnwithfun",615,0.075,0.895,208,Promedio,[],1,"['🌎', '🏳', '🌈', '🚩', '🚀', '🎈', '🎨', '🌟', '🏆']",9,[],1,"['#flags', '#flagsquizeasy', '#flagsquizchallenge', '#quizforkids', '#learnwithfun']",5,"(190, 218, 223)",190,218,223,Frío,Blanco,23:00:32,1/1/1900 11:00:32 PM,Noche,5/6/2024,6,Q2,10/6/2024,2,Flag Day,Flag Day,US,True
